pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"PT Tumbuh Sehat Makmur","Parking Staff","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/pekerjaan-umum/pembantu/parking-staff-pt-tumbuh-sehat-makmur-jakarta-utara.html,"Posted Date: November 10, 2023"
"PT Tumbuh Sehat Makmur","Staff Dokumen Control","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-dokumen-control-pt-tumbuh-sehat-makmur-jakarta-utara.html,"Posted Date: November 8, 2023"
Alufur,"Teknisi Aluminium","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/desain-arsitektur/interior/teknisi-aluminium-alufur-jakarta-utara.html,"Updated:  Desember 1, 2023"
Alufur,"Pengawas Lapangan","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/konstruksi-dan-bangunan/site-supervisor/pengawas-lapangan-alufur-jakarta-utara.html,"Updated:  April 17, 2024"
"PT Tumbuh Sehat Makmur","Supervisor Restaurant & Bar","Jakarta Utara",Negosiasi,"Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/restaurant/manajemen/supervisor-restaurant-bar-pt-tumbuh-sehat-makmur-jakarta-utara-2.html,"Updated:  Desember 13, 2023"
"PT Tumbuh Sehat Makmur","Supervisor Engineering","Jakarta Utara",Negosiasi,"Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/teknik/elektro/supervisor-engineering-pt-tumbuh-sehat-makmur-jakarta-utara.html,"Posted Date: November 2, 2023"
"RIFFY GROUP","Staff Administrasi","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/administrasi/staf-admin/staff-administrasi-riffy-group-jakarta-timur.html,"Updated:  Maret 26, 2024"
"DIAN WAHANA DWM","Staff Warehouse","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/staff-warehouse-dian-wahana-dwm-jakarta-pusat.html,"Updated:  November 17, 2023"
"Gravitti Technology","Staff Admin Online Shop","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/staff-admin-online-shop-gravitti-technology-jakarta-utara.html,"Posted Date: Oktober 19, 2023"
"Gravitti Technology","Personal Assistant","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/asisten-pribadi/personal-assistant-gravitti-technology-jakarta-utara.html,"Updated:  November 13, 2023"
"SERBA ANTIK","Staff Data Entry Akunting","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-data-entry-akunting-serba-antik-jakarta-pusat.html,"Posted Date: Oktober 13, 2023"
"PT AKSINDO CIPTA TALENTA","Staff Admin","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-admin-pt-aksindo-cipta-talenta-jakarta-selatan.html,"Posted Date: September 13, 2023"
"PT. ASURANSI UMUM VIDEI","Staff IT Support","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/information-technology/help-desk-it-support/staff-it-support-pt-asuransi-umum-videi-jakarta-selatan.html,"Posted Date: September 7, 2023"
"PT. JORYA MODA BUSANA","Staff Admin Online","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pemasaran/pemasaran-digital/staff-admin-online-jorya-fashion-jakarta-utara-2.html,"Updated:  Maret 4, 2024"
"PT. Anugrah Irka Sejahtera","Pramuniaga Toko","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/ritel/asisten-ritel/pramuniaga-toko-pt-anugrah-irka-sejahtera-jakarta-timur.html,"Updated:  Maret 4, 2024"
"PT. Anugrah Irka Sejahtera","Staff Pickup","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/kurir/staff-pickup-pt-anugrah-irka-sejahtera-jakarta-timur.html,"Posted Date: Agustus 4, 2023"
"PT. Gapura Mas Logistics","Operation Staff (OS)","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/freight-forwarding/operation-staff-os-pt-gapura-mas-logistics-jakarta-utara.html,"Updated:  Maret 4, 2024"
"PT INDO GUNA SEJAHTERA","Google AdWords Specialist","Jakarta Pusat","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/google-adwords-specialist-pt-indo-guna-sejahtera-jakarta-pusat.html,"Updated:  Maret 4, 2024"
